project	source	trait	provider_translation	abi_capabilities	language	host_idioms	provider_surface_status	support_scope	evidence	next_required_work
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	complete	full-modeled-provider-surface	["llattice:bindings/raku/lib/LLattice.rakumod","llattice:bindings/raku/t/02-provider-shim.rakutest"]	-
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	complete	full-modeled-provider-surface	["llattice:bindings/julia/LLattice/src/LLattice.jl","llattice:bindings/julia/LLattice/test/runtests.jl"]	-
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/acoustic/mod.rs"]	-
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	c	opaque handles; status codes; bounded buffers; vtables	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	cpp	RAII; ranges/iterators; move-only handles; typed errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	fsharp	use/use!; seq; Result; object expressions; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	missing	-	-	implement-high-level-operation-interface
lling-llang	src/acoustic/mod.rs	AcousticModel	high-level-operation-interface	-	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/algorithms/queue.rs"]	-
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	c	opaque handles; status codes; bounded buffers; vtables	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	cpp	RAII; ranges/iterators; move-only handles; typed errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	fsharp	use/use!; seq; Result; object expressions; interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	missing	-	-	implement-high-level-operation-interface
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	high-level-operation-interface	-	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	missing	-	-	implement-high-level-operation-interface
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/backend/pathmap.rs"]	-
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	c	opaque handles; status codes; bounded buffers; vtables	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	cpp	RAII; ranges/iterators; move-only handles; typed errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	fsharp	use/use!; seq; Result; object expressions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	resource-cursor-protocol	-	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/backend/traits.rs"]	-
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	c	opaque handles; status codes; bounded buffers; vtables	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	cpp	RAII; ranges/iterators; move-only handles; typed errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	fsharp	use/use!; seq; Result; object expressions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	LatticeBackend	resource-cursor-protocol	-	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/backend/traits.rs"]	-
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	c	opaque handles; status codes; bounded buffers; vtables	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	cpp	RAII; ranges/iterators; move-only handles; typed errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	fsharp	use/use!; seq; Result; object expressions; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	ruby	Enumerable; blocks/ensure; exceptions; explicit close	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	fortran	modules; derived types; type-bound procedures; finalizers	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	ocaml	abstract types; Seq; result; Fun.protect	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	haskell	type classes; Foldable; bracket; Either	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	lua	generic-for iterators; __close; tables; error values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	raku	NativeCall; Iterable/Positional/Associative; LEAVE; exceptions	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/backend/traits.rs	SharingBackend	resource-cursor-protocol	-	julia	ccall; multiple dispatch; AbstractDict/AbstractSet; iteration; do blocks; deterministic close and finalizers; @cfunction interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["lling-llang:src/bindings.rs"]	-
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	c	opaque handles; status codes; bounded buffers; vtables	complete	full-modeled-provider-surface	["vinary-tree-interop:include/vinary_tree_interop.h","lling-llang:src/bindings.rs"]	-
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	cpp	RAII; ranges/iterators; move-only handles; typed errors	complete	full-modeled-provider-surface	["vinary-tree-interop:include/vinary_tree/interop.hpp","vinary-tree-interop:tests/cpp/providers.cpp"]	-
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	complete	full-modeled-provider-surface	["vinary-tree-interop:bindings/dotnet/src/VinaryTree.Interop/ScalarWfstProviders.cs","vinary-tree-interop:bindings/dotnet/tests/VinaryTree.Interop.ProviderTests/Program.cs"]	-
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	fsharp	use/use!; seq; Result; object expressions; interfaces	complete	full-modeled-provider-surface	["vinary-tree-interop:bindings/dotnet/src/VinaryTree.Interop/ScalarWfstProviders.cs","vinary-tree-interop:bindings/dotnet/tests/VinaryTree.Interop.FSharpProviders/Program.fs"]	-
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	go	interfaces; iter.Seq; io.Closer; errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	javascript	Symbol.iterator; Symbol.dispose; Error; native/WASM/WASI runtime identity	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	typescript	structural interfaces; Iterable; Disposable; discriminated errors	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	clojurescript	ISeqable; IReduce; protocol dispatch; close!	missing	-	-	implement-resource-cursor-protocol
lling-llang	src/bindings.rs	ScalarWfstProvider	resource-cursor-protocol	VtWfstVTable	swift	Sequence/Collection; protocols; throws; deterministic scoped ownership	missing	-	-	implement-resource-cursor-protocol
